,id,marca,modelo,preco_minimo,idade_veiculo,km_rodados,tipo_vendedor,tipo_combustivel,tipo_transmissao,potencia_maxima,preco_venda,ipva,ano,estado
0,0,Maruti,Alto,614646.3878326996,9,120000,particular,Petrol,Manual,46.3,120000,4800.0,2015,rodado
1,1,Hyundai,Grand,711000.0,5,20000,particular,Petrol,Manual,82.0,550000,22000.0,2019,novo
2,2,Hyundai,i20,967624.184646262,11,60000,particular,Petrol,Manual,80.0,215000,8600.0,2013,moderadamente rodado
3,3,Maruti,Alto,614646.3878326996,9,37000,particular,Petrol,Manual,67.1,226000,9040.0,2015,moderadamente rodado
4,4,Ford,Ecosport,1014000.0,6,30000,distribuidora,Diesel,Manual,98.59,570000,22800.0,2018,moderadamente rodado
5,5,Maruti,Wagon R,516000.0,8,35000,particular,Petrol,Manual,67.1,350000,14000.0,2016,moderadamente rodado
6,6,Hyundai,i10,654000.0,8,40000,distribuidora,Petrol,Manual,78.9,315000,12600.0,2016,moderadamente rodado
7,7,Maruti,Wagon R,526000.0,3,17512,distribuidora,Petrol,Manual,67.04,410000,16400.0,2021,novo
8,8,Hyundai,Venue,770000.0,2,20000,particular,Petrol,Automatic,118.35,1050000,42000.0,2022,novo
9,9,Mahindra,TUV,1399372.0930232557,4,70000,distribuidora,Diesel,Manual,100.0,575000,23000.0,2020,moderadamente rodado
10,11,Renault,Captur,414304.9645390071,2,18000,particular,Diesel,Manual,108.49,1150000,46000.0,2022,novo
11,12,Maruti,Swift,635000.0,4,28321,distribuidora,Petrol,Manual,85.0,511000,20440.0,2020,novo
12,13,Nissan,Micra,1690333.3333333333,5,27000,distribuidora,Petrol,Automatic,76.0,410000,16400.0,2019,novo
13,14,Hyundai,Verna,1309000.0,8,65278,distribuidora,Diesel,Manual,126.32,425000,17000.0,2016,moderadamente rodado
14,15,Renault,Duster,414304.9645390071,5,50000,particular,Diesel,Manual,108.45,750000,30000.0,2019,moderadamente rodado
15,16,Mini,Cooper,4238800.0,4,6000,distribuidora,Petrol,Automatic,189.08,3250000,130000.0,2020,novo
16,17,Maruti,Ciaz,614646.3878326996,5,76000,distribuidora,Diesel,Manual,88.5,650000,26000.0,2019,moderadamente rodado
17,18,Maruti,Swift,614646.3878326996,5,20000,particular,Diesel,Manual,74.0,627000,25080.0,2019,novo
18,19,Mercedes-Benz,C-Class,5130000.0,7,65000,distribuidora,Diesel,Automatic,170.0,1425000,57000.0,2017,moderadamente rodado
19,20,Maruti,Swift,614646.3878326996,7,62200,distribuidora,Diesel,Manual,74.0,425000,17000.0,2017,moderadamente rodado
20,21,Toyota,Innova,2876695.0,8,110000,particular,Diesel,Manual,100.6,605000,24200.0,2016,rodado
21,22,Maruti,Baleno,681000.0,6,20000,particular,Petrol,Manual,83.1,600000,24000.0,2018,novo
22,23,Maruti,Swift Dzire,698000.0,5,40000,particular,Petrol,Manual,83.14,575000,23000.0,2019,moderadamente rodado
23,25,Volkswagen,Vento,1012000.0,8,47000,distribuidora,Petrol,Manual,103.2,425000,17000.0,2016,moderadamente rodado
24,26,Maruti,Alto,614646.3878326996,8,25000,distribuidora,Petrol,Manual,67.1,230000,9200.0,2016,novo
25,27,Hyundai,Creta,1095000.0,2,15000,particular,Diesel,Manual,126.2,1225000,49000.0,2022,novo
26,28,Mahindra,Xylo,1399372.0930232557,11,56823,distribuidora,Diesel,Manual,118.3,375000,15000.0,2013,moderadamente rodado
27,29,Honda,City,1236000.0,6,50000,particular,Petrol,Manual,117.3,750000,30000.0,2018,moderadamente rodado
28,30,Mahindra,Bolero,905000.0,10,25000,particular,Diesel,Manual,63.0,350000,14000.0,2014,novo
29,31,Maruti,Swift Dzire,614646.3878326996,6,90000,particular,Diesel,Manual,74.0,600000,24000.0,2018,rodado
30,32,Maruti,Swift Dzire,614646.3878326996,8,45000,distribuidora,Diesel,Manual,74.0,390000,15600.0,2016,moderadamente rodado
31,33,Honda,City,1268000.0,14,77253,distribuidora,Petrol,Manual,78.0,145000,5800.0,2010,moderadamente rodado
32,34,Hyundai,i20,967624.184646262,3,25000,particular,Petrol,Manual,81.86,700000,28000.0,2021,novo
33,35,Toyota,Fortuner,3747000.0,8,110000,particular,Diesel,Manual,168.5,1150000,46000.0,2016,rodado
34,36,Renault,KWID,381000.0,4,30000,particular,Petrol,Manual,67.0,340000,13600.0,2020,moderadamente rodado
35,37,Honda,Amaze,704000.0,5,39993,distribuidora,Petrol,Manual,88.76,465000,18600.0,2019,moderadamente rodado
36,38,Hyundai,Santro,967624.184646262,12,80000,particular,Petrol,Manual,62.1,125000,5000.0,2012,rodado
37,39,Mahindra,XUV500,1659000.0,9,185000,particular,Diesel,Manual,140.0,600000,24000.0,2015,rodado
38,40,Maruti,Swift Dzire,614646.3878326996,8,90000,particular,Diesel,Manual,74.0,380000,15200.0,2016,rodado
39,41,Mahindra,Xylo,1399372.0930232557,12,60000,particular,Diesel,Manual,112.0,400000,16000.0,2012,moderadamente rodado
40,43,Hyundai,Xcent,967624.184646262,6,20000,particular,Petrol,Manual,82.0,500000,20000.0,2018,novo
41,44,Hyundai,i20,967624.184646262,3,15000,particular,Diesel,Manual,88.73,850000,34000.0,2021,novo
42,45,Hyundai,i20,763000.0,3,40000,particular,Petrol,Manual,81.83,598000,23920.0,2021,moderadamente rodado
43,46,Honda,City,1268000.0,6,31180,distribuidora,Petrol,Automatic,117.3,700000,28000.0,2018,moderadamente rodado
44,47,Mahindra,TUV,1399372.0930232557,3,40000,particular,Diesel,Automatic,100.0,900000,36000.0,2021,moderadamente rodado
45,48,Maruti,800,614646.3878326996,17,50000,particular,Petrol,Manual,37.0,75000,3000.0,2007,moderadamente rodado
46,50,Maruti,Swift Dzire,614646.3878326996,7,56000,distribuidora,Diesel,Manual,74.0,410000,16400.0,2017,moderadamente rodado
47,53,Maruti,Baleno,668000.0,5,52427,distribuidora,Petrol,Automatic,83.1,590000,23600.0,2019,moderadamente rodado
48,54,Mahindra,Bolero,893000.0,1,40000,particular,Diesel,Manual,74.96,850000,34000.0,2023,moderadamente rodado
49,56,Mahindra,KUV100,688000.0,3,17000,particular,Petrol,Manual,82.0,550000,22000.0,2021,novo
50,57,Toyota,Etios,2876695.0,9,54325,distribuidora,Petrol,Manual,88.73,325000,13000.0,2015,moderadamente rodado
51,58,Maruti,Baleno,681000.0,5,22000,distribuidora,Petrol,Manual,94.0,625000,25000.0,2019,novo
52,59,Maruti,Swift Dzire,698000.0,5,54000,particular,Petrol,Manual,83.14,600000,24000.0,2019,moderadamente rodado
53,60,Maruti,Wagon R,511000.0,2,10000,particular,Petrol,Manual,67.04,445000,17800.0,2022,novo
54,61,Maruti,Ignis,577000.0,2,20000,particular,Petrol,Manual,81.8,530000,21200.0,2022,novo
55,62,Toyota,Corolla,2876695.0,10,61000,distribuidora,Petrol,Manual,138.1,385000,15400.0,2014,moderadamente rodado
56,63,Maruti,Wagon R,597000.0,3,53237,concessionária,CNG,Manual,58.16,410000,16400.0,2021,moderadamente rodado
57,64,Datsun,RediGO,329000.0,3,27263,particular,Petrol,Manual,68.0,350000,14000.0,2021,novo
58,66,Hyundai,Verna,1284000.0,7,110000,particular,Diesel,Manual,126.3,520000,20800.0,2017,rodado
59,67,Hyundai,i20,959000.0,5,70000,particular,Diesel,Manual,88.73,750000,30000.0,2019,moderadamente rodado
60,68,Maruti,Swift Dzire,614646.3878326996,4,70000,particular,Diesel,Manual,74.0,560000,22400.0,2020,moderadamente rodado
61,70,Hyundai,Xcent,967624.184646262,4,40000,particular,Diesel,Manual,73.97,600000,24000.0,2020,moderadamente rodado
62,71,Hyundai,i20,803000.0,2,39000,distribuidora,Petrol,Manual,81.83,655000,26200.0,2022,moderadamente rodado
63,72,Hyundai,Santro,967624.184646262,14,56000,distribuidora,Petrol,Manual,63.0,125000,5000.0,2010,moderadamente rodado
64,73,Toyota,Corolla,2876695.0,12,58000,distribuidora,Petrol,Automatic,138.1,425000,17000.0,2012,moderadamente rodado
65,74,Maruti,Omni,614646.3878326996,4,40000,particular,Petrol,Manual,34.2,220000,8800.0,2020,moderadamente rodado
66,75,Hyundai,i20,783000.0,3,34000,particular,Petrol,Manual,81.83,550000,22000.0,2021,moderadamente rodado
67,76,Mahindra,Scorpio,1510000.0,4,50000,particular,Diesel,Manual,120.0,1150000,46000.0,2020,moderadamente rodado
68,77,Volkswagen,Vento,820416.9884169884,9,77400,particular,Diesel,Manual,103.6,500000,20000.0,2015,moderadamente rodado
69,78,Mahindra,Marazzo,1389000.0,2,36000,particular,Diesel,Manual,121.0,990000,39600.0,2022,moderadamente rodado
70,79,Hyundai,Verna,1274000.0,8,47876,distribuidora,Diesel,Manual,113.42,551000,22040.0,2016,moderadamente rodado
71,80,Mahindra,XUV500,1654000.0,3,21500,particular,Diesel,Automatic,152.87,1650000,66000.0,2021,novo
72,81,Hyundai,Grand,967624.184646262,6,75000,distribuidora,Diesel,Manual,70.0,350000,14000.0,2018,moderadamente rodado
73,82,Ford,Aspire,685000.0,4,58000,distribuidora,Petrol,Manual,86.8,500000,20000.0,2020,moderadamente rodado
74,83,Maruti,Swift Dzire,685000.0,3,30000,particular,Petrol,Manual,81.8,575000,23000.0,2021,moderadamente rodado
75,84,Hyundai,Grand,967624.184646262,3,50000,particular,Diesel,Manual,73.97,545000,21800.0,2021,moderadamente rodado
76,85,Ford,Figo,602000.0,4,19093,concessionária,Petrol,Manual,86.8,525000,21000.0,2020,novo
77,86,Honda,Amaze,702000.0,7,50000,particular,Petrol,Manual,86.7,400000,16000.0,2017,moderadamente rodado
78,87,Maruti,Wagon R,516000.0,15,37000,distribuidora,Petrol,Manual,64.0,155000,6200.0,2009,moderadamente rodado
79,88,Mahindra,Supro,1399372.0930232557,2,3888,particular,Diesel,Manual,45.0,540000,21600.0,2022,novo
80,89,Maruti,Swift Dzire,614646.3878326996,5,47000,distribuidora,Diesel,Manual,74.0,545000,21800.0,2019,moderadamente rodado
81,90,Honda,City,1313000.0,8,70000,particular,Petrol,Manual,116.3,545000,21800.0,2016,moderadamente rodado
82,91,Renault,KWID,362000.0,5,25000,particular,Petrol,Manual,53.3,240000,9600.0,2019,novo
83,92,Maruti,Vitara,614646.3878326996,3,26000,distribuidora,Diesel,Manual,88.5,725000,29000.0,2021,novo
84,93,Ford,Aspire,685000.0,4,30000,particular,Petrol,Manual,86.8,480000,19200.0,2020,moderadamente rodado
85,94,Hyundai,i20,783000.0,8,15000,particular,Petrol,Manual,82.9,375000,15000.0,2016,novo
86,95,Maruti,Swift,614646.3878326996,10,160000,particular,Diesel,Manual,75.0,225000,9000.0,2014,rodado
87,97,Hyundai,i20,803000.0,5,22000,distribuidora,Petrol,Manual,82.9,550000,22000.0,2019,novo
88,98,Mahindra,Scorpio,1399372.0930232557,5,44000,distribuidora,Diesel,Manual,120.0,1050000,42000.0,2019,moderadamente rodado
89,99,Volkswagen,Polo,694000.0,5,78000,distribuidora,Petrol,Manual,74.0,450000,18000.0,2019,moderadamente rodado
90,100,Mercedes-Benz,C-Class,476200000.0,9,74352,distribuidora,Petrol,Automatic,186.0,775000,31000.0,2015,moderadamente rodado
91,101,Maruti,Wagon R,516000.0,7,37000,particular,Petrol,Manual,67.04,350000,14000.0,2017,moderadamente rodado
92,102,Honda,City,1479000.0,7,69000,distribuidora,Diesel,Manual,98.6,550000,22000.0,2017,moderadamente rodado
93,103,Kia,Seltos,1119000.0,2,12120,particular,Petrol,Manual,113.4,1080000,43200.0,2022,novo
94,104,Maruti,Baleno,614646.3878326996,5,52000,distribuidora,Petrol,Manual,81.8,575000,23000.0,2019,moderadamente rodado
95,105,Toyota,Innova,2876695.0,5,120000,particular,Diesel,Manual,100.6,950000,38000.0,2019,rodado
96,106,Maruti,Alto,347000.0,8,55000,particular,Petrol,Manual,47.3,230000,9200.0,2016,moderadamente rodado
97,107,Hyundai,i20,860000.0,10,160000,particular,Diesel,Manual,90.0,270000,10800.0,2014,rodado
98,109,Ford,Figo,613000.0,10,40000,particular,Petrol,Manual,70.0,130000,5200.0,2014,moderadamente rodado
99,110,Maruti,Swift Dzire,653000.0,9,46000,distribuidora,Petrol,Manual,85.8,370000,14800.0,2015,moderadamente rodado
100,111,Maruti,Baleno,668000.0,4,25000,distribuidora,Petrol,Manual,83.1,570000,22800.0,2020,novo
101,112,Toyota,Etios,2876695.0,6,240000,particular,Diesel,Manual,67.05,390000,15600.0,2018,rodado
102,113,Volkswagen,Polo,820416.9884169884,8,90000,distribuidora,Diesel,Manual,73.9,365000,14600.0,2016,rodado
103,114,Hyundai,i20,967624.184646262,9,49566,distribuidora,Petrol,Manual,82.85,280000,11200.0,2015,moderadamente rodado
104,115,Hyundai,Verna,1309000.0,3,14000,distribuidora,Diesel,Automatic,126.2,1250000,50000.0,2021,novo
105,116,Hyundai,i20,803000.0,5,11000,distribuidora,Petrol,Manual,81.83,590000,23600.0,2019,novo
